Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_12,Class_23,Class_24,Class_90,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01802710,78,1550236201,00,VI,78,A,+18.3267480,0,9,United States Virgin Islands,-064.9712508,G4000,348021896,00000000000000000022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01779809,69,4644252461,00,MP,69,A,+14.9367835,0,9,Commonwealth of the Northern Mariana Islands,+145.6010210,G4000,472292529,00000000000000000023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01802705,66,934337453,00,GU,66,A,+13.4382886,0,9,Guam,+144.7729493,G4000,543555840,00000000000000000024
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01802701,60,1307243754,00,AS,60,A,-14.2671590,0,9,American Samoa,-170.6682674,G4000,197759063,00000000000000000029
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01779808,72,4922382562,00,PR,72,A,+18.2176480,0,9,Puerto Rico,-066.4107992,G4000,8868896030,00000000000000000031
0.02026875028119798,0.012710148622504837,0.004369191699535586,0.007908536920669677,0.2146577883091628,0.007333643275993941,0.006983708014017408,0.025482785684648342,0.026225148347555703,0.10043391972485091,0.3285517179321826,0.03597334493118773,4000.74,0.0,0.08755880162169999,0.03532596469653115,0.08621654993826143,01219835,44,1323670487,00,RI,44,A,+41.5974187,1,1,Rhode Island,-071.5272723,G4000,2677779902,00000000000000000005
0.029710710201849972,0.0050207490984084165,0.002913834976013307,0.0042832052680286305,0.21858428750829528,0.007346944169253506,0.0031037958729756257,0.1804756538268242,0.021645631250384566,0.3758190515087231,0.0423195712169597,0.02105799134521635,24215.510000000002,0.0,0.01705766263027291,0.004464906995557806,0.06619600413123655,01779794,33,1026675248,00,NH,33,A,+43.6726907,1,1,New Hampshire,-071.5843145,G4000,23189413166,00000000000000000007
0.1261364398398132,0.0018415133979536149,0.01745703302717738,0.004590532308200114,0.3850345113102893,0.0029827216572174994,0.0013299372817318735,0.1256630110791967,0.015558097820260098,0.2168576778379524,0.040209722114584213,0.008870264055995497,24903.430000000004,0.0,0.008086034734974257,0.0017587938689570066,0.04362370966569665,01779802,50,1030416650,00,VT,50,A,+44.0685773,1,1,Vermont,-072.6691839,G4000,23874175944,00000000000000000009
0.03224615701779984,0.0034872569210592846,0.014948471199659561,0.006086506537474952,0.4449877733582486,0.0018345186199461064,0.0022844423209655387,0.00977086625634925,0.06555374394326782,0.0926209030651226,0.1274105915939487,0.05717513384533628,14357.990000000002,0.0,0.05677535643916731,0.014820319557263933,0.0699979593243901,01779780,09,1815617571,00,CT,09,A,+41.5798637,1,1,Connecticut,-072.7466572,G4000,12542497068,0000000000000000000a
0.024458183115128138,0.016804175849649158,0.011596805424378753,0.008548604561365752,0.1412720503445351,0.009690943209169443,0.001269483438545193,0.19568521874688277,0.009491003933084953,0.3260830607996567,0.12896170617177186,0.007088240230969154,91627.81999999999,0.0,0.0042111664339498645,0.0013042981924048832,0.1135350595485083,01779787,23,11746549764,00,ME,23,A,+45.4092843,1,1,Maine,-068.6666160,G4000,79887426037,00000000000000000025
0.026957649269567712,0.006567085324911386,0.009780928853465713,0.01269951148407567,0.16854201851618777,0.0032657977386015393,0.005802773037667534,0.06414039930103294,0.03468236220426347,0.17146425989398414,0.25980763770792664,0.05434739658185204,27331.76,0.0,0.06850711406802928,0.02309547573957916,0.09033959027885508,00606926,25,7129925486,00,MA,25,A,+42.1565196,1,1,Massachusetts,-071.4895915,G4000,20205125364,00000000000000000033
0.03820189108280227,0.004311838766179355,0.08713313847947596,0.04121676982589308,0.1822432450736545,0.002932988775762695,0.004472962810003324,0.03388518318343043,0.08843054115103653,0.038224466154876506,0.15298595166544277,0.08263405940962204,22591.289999999997,0.0,0.05670725310506837,0.027209601576536804,0.15941010894021548,01779795,34,3544860246,00,NJ,34,A,+40.1072744,2,1,New Jersey,-074.6652012,G4000,19047825980,0000000000000000000e
0.13524750350234874,0.005183559962473937,0.09886055244468553,0.0013494627216791824,0.4980121917786398,0.002722903222831541,0.0021647910621569438,0.011223361399631615,0.04269017271546676,0.10758284700080738,0.027607981750059317,0.029059056600135316,119277.09999999999,0.0,0.01651960015795153,0.007532040936608956,0.014243974744523468,01779798,42,3394589990,00,PA,42,A,+40.9024957,2,1,Pennsylvania,-077.8334514,G4000,115884442321,00000000000000000012
0.12413069197467358,0.002994478825707346,0.07944241129616475,0.00463140207250182,0.3503512621975626,0.0027097318969291143,0.0015945969571078261,0.06947258824199737,0.0280906419617032,0.08688957332905822,0.1362491758583018,0.020222906662391568,141283.35,0.0,0.015186078189680523,0.007420478067656239,0.07061398246856405,01779796,36,19246994695,00,NY,36,A,+42.9133974,2,1,New York,-075.5962723,G4000,122049149763,00000000000000000026
0.06775976926081137,0.0025486274626409537,0.6495049217151088,0.003202651617933089,0.12966258887161566,3.730804457711305E-4,0.0011362419652032483,9.205006638245173E-4,0.014591872259815461,0.005909284916256241,0.04260204010201443,0.03406179134882715,149994.46,0.0,0.01953158803331803,0.00745014182523808,0.020744899511621964,01779784,17,6214824948,00,IL,17,A,+40.1028754,3,2,Illinois,-089.1526108,G4000,143780567633,00000000000000000002
0.06763911320261204,0.00523961225147993,0.25786087739483005,0.02574744587914182,0.2166722502337228,0.002442896556123043,0.001067882990206779,0.013974735945813912,0.014824444221874664,0.05172969043065424,0.17096850885865383,0.014167621021384247,169634.69,0.0,0.008203510732386165,0.0027131832527886837,0.14674822702832777,01779806,55,29344951758,00,WI,55,A,+44.6309071,3,2,Wisconsin,-089.7093916,G4000,140290039723,0000000000000000000f
0.12597053203280237,0.0029739042786084907,0.3671524974238771,0.002629415975141007,0.28854083526264296,0.0017689707028983115,0.001753891800170245,0.0029430571518847893,0.031869993319615264,0.011216980326512527,0.08795480878701946,0.03689695482851883,116056.19000000002,0.0,0.020846195278338878,0.008001468943621188,0.009480493888348393,01085497,39,10268850702,00,OH,39,A,+40.4149297,3,2,Ohio,-082.7119975,G4000,105828882568,00000000000000000018
0.01715921221672888,0.013330863671470983,0.15198546120336368,0.004231219123903027,0.13603026903609403,0.004181628909960782,0.0018104820136853022,0.029419334529673956,0.016137502084226384,0.040390949761998925,0.4131707296038086,0.014732446022529452,250452.63999999996,0.0,0.010705696693794085,0.004119142046176875,0.1425950630825852,01779789,26,103885855702,00,MI,26,A,+44.8441768,3,2,Michigan,-085.6604907,G4000,146600952990,0000000000000000002a
0.07157085053463672,0.0035596507329263296,0.5845817519053732,0.001708424563275689,0.21402366902170938,0.001040638877636622,0.0016151317543596103,0.0014948052337689862,0.023213371149432078,0.009065834720975522,0.017217081870906713,0.026495899834055422,94326.66999999998,0.0,0.017110007169764397,0.006827549408878741,0.02047533322230076,00448508,18,1538002829,00,IN,18,A,+39.9013136,3,2,Indiana,-086.2919129,G4000,92789302676,00000000000000000030
0.0570427843310233,0.0073759763177169285,0.40441155179247024,0.07372969666845319,0.11734873970255386,0.004208067701428288,0.0015999202016205895,0.018678052443452314,0.013062321432917402,0.043291109355578346,0.08536357026334354,0.007872717676637853,225167.47999999998,0.0,0.007147524145138544,0.0022593848809783724,0.15660858308668732,00662849,27,18945217189,00,MN,27,A,+46.3159573,4,2,Minnesota,-094.1996043,G4000,206228939448,00000000000000000003
0.0080331042265884,0.5283793835577769,0.39892647676709453,0.017630149142435863,0.00947484489007963,0.0013222861448382794,5.158059094195305E-4,0.0036500768317686526,0.008424763296104091,8.336857150116691E-4,0.008145620099987377,0.004895388940767881,200327.28999999998,0.0,0.0028035621107838082,0.0010238245622950324,0.00594102780504843,01779792,31,1371829134,00,NE,31,A,+41.5433053,4,2,Nebraska,-099.8118646,G4000,198956658395,00000000000000000011
0.06042229546701713,0.2327675697213941,0.5450531583031287,0.03129882419967634,0.01038388054302122,0.06168134815084078,0.0010230144388559367,6.48367895478202E-4,0.013436812965959813,3.458107744413725E-4,0.03430910371439656,0.002630226264666921,183105.91999999998,0.0,0.0019413899889200745,3.749196093714502E-4,0.0036832779628315675,01779797,38,4403267548,00,ND,38,A,+47.4421740,4,2,North Dakota,-100.4608258,G4000,178707534813,00000000000000000020
0.3160891861408219,0.0025096971741009225,0.2328388585536113,0.003187442806903811,0.3520035010580221,0.002937082373733734,0.0011612403719935078,0.007199967253741574,0.014341055494107087,0.012380766536071204,0.013120825329784789,0.015179430608368651,180539.71,0.0,0.008028095314875604,0.0027465425750379238,0.01627630840882596,01779791,29,2489425460,00,MO,29,A,+38.3507500,4,2,Missouri,-092.4567826,G4000,178050802184,0000000000000000002d
0.08904186374778184,0.3515127781767825,0.47076839403537263,0.0019962022462261197,0.03762934383045678,0.009217096320899634,5.210238496402974E-4,1.3693124320007094E-4,0.015332028935758456,0.0013776184052859775,0.006076312185402462,0.008358296224325098,213099.65000000002,0.0,0.003559883838382653,0.001258425342322242,0.0032138016181631453,00481813,20,1344141205,00,KS,20,A,+38.4985464,4,2,Kansas,-098.3834298,G4000,211755344060,0000000000000000002f
0.07648382056561892,0.476636437231477,0.33762915051416875,0.01790494598260234,0.003166788306385091,0.016282699217144897,0.006760554805289583,0.027103702478711543,0.010782451056097615,6.201397622590631E-4,0.021024069744043895,0.0020384603811251004,199729.17,0.0,0.0014921205550496202,4.072014117917778E-4,0.0016674579882347681,01785534,46,3382720225,00,SD,46,A,+44.4467957,4,2,South Dakota,-100.2381762,G4000,196346981786,00000000000000000032
