temperature_2m_above_ground,specific_humidity_2m_above_ground,relative_humidity_2m_above_ground,u_component_of_wind_10m_above_ground,v_component_of_wind_10m_above_ground,precipitable_water_entire_atmosphere,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
28.150788402557396,0.01906173856696114,80.65156364440918,-7.19056136906147,0.9628393343882635,50.359170973300934,01802710,78,1550236201,00,VI,78,A,+18.3267480,0,9,United States Virgin Islands,-064.9712508,G4000,348021896,00000000000000000022
28.199307235918567,0.01797249761875719,75.7618438130931,-4.289706174872423,0.34283112138578675,50.948371636240104,01779809,69,4644252461,00,MP,69,A,+14.9367835,0,9,Commonwealth of the Northern Mariana Islands,+145.6010210,G4000,472292529,00000000000000000023
28.220708942413353,0.01859228864486795,78.1902357339859,-4.608920808881521,0.3071752872829166,58.427492201328285,01802705,66,934337453,00,GU,66,A,+13.4382886,0,9,Guam,+144.7729493,G4000,543555840,00000000000000000024
28.352794470105874,0.017466757238642976,72.71518017564502,-6.182280130684376,-2.8844150424535786,40.444167737449916,01802701,60,1307243754,00,AS,60,A,-14.2671590,0,9,American Samoa,-170.6682674,G4000,197759063,00000000000000000029
28.069539642334007,0.018910878599854186,80.1343765258789,-5.018842624500394,-1.677160618826747,50.16107136011124,01779808,72,4922382562,00,PR,72,A,+18.2176480,0,9,Puerto Rico,-066.4107992,G4000,8868896030,00000000000000000031
20.158601379394554,0.0136851386341732,93.17656445503235,0.1835009723145049,5.991589218378067,37.10767084360123,01219835,44,1323670487,00,RI,44,A,+41.5974187,1,1,Rhode Island,-071.5272723,G4000,2677779902,00000000000000000005
19.22891197204592,0.013238788669696078,94.03593957424164,-0.5774365095930989,4.232526750303805,40.37989580631256,01779794,33,1026675248,00,NH,33,A,+43.6726907,1,1,New Hampshire,-071.5843145,G4000,23189413166,00000000000000000007
19.003033494949364,0.013381241798924748,95.12138859182596,-0.6957372884464803,2.9502904584514913,38.59183496236801,01779802,50,1030416650,00,VT,50,A,+44.0685773,1,1,Vermont,-072.6691839,G4000,23874175944,00000000000000000009
20.541765862126528,0.013575383185994843,89.84239098718089,-0.06428632148045806,5.102264659659516,36.9873441496203,01779780,09,1815617571,00,CT,09,A,+41.5798637,1,1,Connecticut,-072.7466572,G4000,12542497068,0000000000000000000a
17.62463754393022,0.012385783174977407,96.83973474688125,-1.6898882028407276,5.203924905010422,42.638897880630665,01779787,23,11746549764,00,ME,23,A,+45.4092843,1,1,Maine,-068.6666160,G4000,79887426037,00000000000000000025
20.164298956017767,0.01360817315539212,92.54893285439427,0.04055219664762699,5.946246179815073,37.48703399815953,00606926,25,7129925486,00,MA,25,A,+42.1565196,1,1,Massachusetts,-071.4895915,G4000,20205125364,00000000000000000033
21.124485111236595,0.013918201157745592,88.9205093656977,0.02029459457541329,5.398412147547789,35.96682978359361,01779795,34,3544860246,00,NJ,34,A,+40.1072744,2,1,New Jersey,-074.6652012,G4000,19047825980,0000000000000000000e
18.22548907535285,0.012245414331605784,90.21296910296276,3.114122819320052,-0.613925211677241,33.9314129150172,01779798,42,3394589990,00,PA,42,A,+40.9024957,2,1,Pennsylvania,-077.8334514,G4000,115884442321,00000000000000000012
18.976742101367872,0.013010786369030358,92.31169669189714,1.9514832160925517,1.5535678589900954,36.442792429614215,01779796,36,19246994695,00,NY,36,A,+42.9133974,2,1,New York,-075.5962723,G4000,122049149763,00000000000000000026
25.16805141928046,0.01184286138388058,58.80810593484715,-0.7859388469773698,-2.205734602059158,25.34145685174908,01779784,17,6214824948,00,IL,17,A,+40.1028754,3,2,Illinois,-089.1526108,G4000,143780567633,00000000000000000002
21.078798628471084,0.010578498238300826,66.27732468859676,-1.002761750147626,-0.758211471000794,24.339045360491376,01779806,55,29344951758,00,WI,55,A,+44.6309071,3,2,Wisconsin,-089.7093916,G4000,140290039723,0000000000000000000f
19.140332327024467,0.012054936767947286,85.13131487321176,3.1378911156660703,-2.583011877706036,29.779319117204654,01085497,39,10268850702,00,OH,39,A,+40.4149297,3,2,Ohio,-082.7119975,G4000,105828882568,00000000000000000018
16.0005081114168,0.008706431196943868,74.21781769925036,0.7666359432618159,-2.6510331018441735,22.48760556321533,01779789,26,103885855702,00,MI,26,A,+44.8441768,3,2,Michigan,-085.6604907,G4000,146600952990,0000000000000000002a
22.026374583723467,0.01152787174547075,68.45373571632011,0.6362906569760107,-3.524028476523726,24.514797083641355,00448508,18,1538002829,00,IN,18,A,+39.9013136,3,2,Indiana,-086.2919129,G4000,92789302676,00000000000000000030
22.061693846378944,0.011910428884514702,70.02652562048604,-0.4193645426388975,1.7393045531604274,30.157185681475273,00662849,27,18945217189,00,MN,27,A,+46.3159573,4,2,Minnesota,-094.1996043,G4000,206228939448,00000000000000000003
28.419789482596162,0.011313123096064014,43.34662977558016,-1.4058828713038447,4.673853947732424,29.686717383832228,01779792,31,1371829134,00,NE,31,A,+41.5433053,4,2,Nebraska,-099.8118646,G4000,198956658395,00000000000000000011
22.74254459972027,0.012094159319130073,67.20654754772734,0.10716484140243043,2.7143449459662485,30.3802017347421,01779797,38,4403267548,00,ND,38,A,+47.4421740,4,2,North Dakota,-100.4608258,G4000,178707534813,00000000000000000020
28.56064812435081,0.011174985390355757,45.170197310672194,-1.0961999662906106,-0.1933656703645175,28.479305190496163,01779791,29,2489425460,00,MO,29,A,+38.3507500,4,2,Missouri,-092.4567826,G4000,178050802184,0000000000000000002d
