Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_12,Class_23,Class_24,Class_90,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
18974.79,74907.25,100320.58,425.39,8018.8,1964.16,111.03,29.18,3267.25,293.57,1294.86,1781.15,213099.65000000002,0,758.61,268.17,684.86,00481813,20,1344141205,00,KS,20,A,+38.4985464,4,2,Kansas,-098.3834298,G4000,211755344060,0000000000000000002f
15276.05,95198.2,67434.39,3576.14,632.5,3252.13,1350.28,5413.4,2153.57,123.86,4199.12,407.14,199729.17,0,298.02,81.33,333.04,01785534,46,3382720225,00,SD,46,A,+44.4467957,4,2,South Dakota,-100.2381762,G4000,196346981786,00000000000000000032
17795.19,1898.16,107191.71,1046.4,9615.61,47.22,122.6,74.23,1456.08,496.66,1196.85,1818.86,145744.88,0,959.73,257.58,1768.0,01779785,19,1084180812,00,IA,19,A,+42.0700243,4,2,Iowa,-093.4933473,G4000,144661267977,00000000000000000036
5422.93,643.14,306.93,70.91,48597.73,343.51,135.89,715.05,1007.39,3713.87,466.2,683.36,62754.95000000001,0,446.27,124.42,77.35,01779805,54,489028543,00,WV,54,A,+38.6472854,5,3,West Virginia,-080.6183274,G4000,62266474513,00000000000000000000
17670.41,3457.94,9823.32,14553.46,106.47,5136.89,636.76,28628.62,7911.87,575.46,28734.0,6601.63,170079.71000000002,0,4786.34,1209.19,40247.35,00294478,12,31361101223,00,FL,12,A,+28.4574302,5,3,Florida,-082.4091477,G4000,138949136250,00000000000000000001
2685.16,95.22,5699.7,805.08,6475.47,58.35,64.27,518.95,1815.26,1601.77,7043.19,1347.22,32129.290000000005,0,797.84,280.93,2840.88,01714934,24,6979966958,00,MD,24,A,+38.9466584,5,3,Maryland,-076.6744939,G4000,25151100280,00000000000000000004
10672.86,2557.12,19967.33,1599.98,26099.13,2831.12,290.77,18170.89,7101.49,11521.21,13502.5,3501.64,139383.75,0,1746.04,526.77,19294.9,01027616,37,13466071395,00,NC,37,A,+35.5397100,5,3,North Carolina,-079.1308636,G4000,125923656064,00000000000000000008
51.4,10.04,2207.92,332.84,206.2,8.3,14.78,157.16,331.05,156.16,1412.9,280.39,6445.76,0,207.0,73.53,996.09,01779781,10,1399985648,00,DE,10,A,+38.9985661,5,3,Delaware,-075.4416440,G4000,5045925646,0000000000000000000b
11370.65,6005.25,20430.19,2254.35,20300.48,5533.99,301.02,38599.38,5872.87,7020.07,4003.74,4000.15,153904.22000000003,0,1806.39,819.6,25586.09,01705317,13,4422936154,00,GA,13,A,+32.6295789,5,3,Georgia,-083.4235109,G4000,149482048342,00000000000000000015
5704.32,3147.34,8215.62,2499.48,6556.12,3019.86,158.55,21161.41,3298.81,3423.49,5053.97,2227.7,82909.27999999998,0,1034.89,340.65,17067.07,01779799,45,5075218778,00,SC,45,A,+33.8741776,5,3,South Carolina,-080.8542639,G4000,77864918488,0000000000000000001b
