zone,stat
11,157.08850235900283
12,2087.5993874289775
21,199.44719482523874
22,235.9562872454471
23,245.61331926958226
24,179.2327390092147
31,1136.4301647254215
41,408.4162791226163
42,1139.498470440677
43,296.42430190665794
52,1397.0991283127994
71,971.6199141293949
81,262.04809911582055
82,431.3911483873922
90,163.31414489902457
95,329.8913663716279
